id,army,size,unit,xcoord,ycoord
"1",K,"10",KJ,20.1181863207719,53.4723509080111
"13",K,"10",KJ,20.1459675728998,53.4967184057129
"7",K,"10",KJ,20.1332255299799,53.4844140665573
"4",K,"10",KJ,20.1252521653276,53.4785951427347
"2",K,"10",KJ,20.1206511502681,53.4745692545576
"3",K,"10",KJ,20.1231159797642,53.4767876011042
"5",K,"10",KJ,20.1277169948238,53.4808956502645
"6",K,"10",KJ,20.1300996633367,53.483113996811
"10",K,"10",KJ,20.1391588476754,53.4899583142401
"11",K,"10",KJ,20.1416878027588,53.4923900018202
"12",K,"10",KJ,20.1435845190713,53.4947730556487
"8",K,"10",KJ,20.1347331762796,53.4862621491183
"9",K,"10",KJ,20.1370675963565,53.488256132934
"14",K,"10",KJ,20.1178576768391,53.4753087034065
"15",K,"10",KJ,20.1203225063352,53.4778556938858
"16",K,"10",KJ,20.122623013865,53.479909718466
"17",K,"10",KJ,20.1249235213948,53.4818815820629
"18",K,"10",KJ,20.1273061899077,53.4840999286095
"19",K,"10",KJ,20.1295245364543,53.4864004361392
"20",K,"10",KJ,20.1321555874446,53.4872834579019
"21",K,"10",KJ,20.1348790775344,53.4894233429724
"22",K,"10",KJ,20.1373107651145,53.4912227917817
"23",K,"10",KJ,20.1386238764078,53.4931681418459
"24",K,"10",KJ,20.1409096627332,53.4952593931648
"25",K,"10",KP,20.1211441161673,53.4722687470278
"30",K,"1",KA,20.1236446809141,53.4731796699371
"26",K,"10",KP,20.1268953849917,53.477116245037
"27",K,"10",KP,20.130592629236,53.4808134892813
"31",K,"1",KA,20.1331039456009,53.4826632514997
"32",K,"1",KA,20.1352438306714,53.4847301859428
"28",K,"10",KP,20.1368368639596,53.4869755630217
"33",K,"1",KA,20.1400342552043,53.4885236185678
"34",K,"1",KA,20.1423686752812,53.4907121373899
"29",K,"10",KP,20.1439027085153,53.4930554757789
"35",K,"10",KJ,20.1129280178467,53.4669282831195
"36",K,"10",KJ,20.1084091637704,53.4675855709851
"37",K,"10",KJ,20.1148177204605,53.4793345915835
"38",K,"10",KJ,20.1241019115627,53.4877150118705
"39",K,"10",KJ,20.1283742826894,53.4908371292324
"40",K,"1",KM,20.1283742826894,53.4880436558034
"41",K,"10",KJ,20.1103810273673,53.4851680213912
"42",K,"10",KJ,20.1089021296696,53.4832783187774
"43",K,"10",KJ,20.1061908172238,53.4848393774583
"44",K,"10",KJ,20.1031508608452,53.4841820895927
"45",K,"10",KJ,20.1008503533155,53.4776913719194
"46",K,"10",KJ,20.0988784897185,53.4789237866675
